"I","J","K","Temperature Sensitivity Parameter","Total Factor Productivity Growth","Population Level","Pcy2010","Pcy2015","PcY.r1","Pcy2100","PcY.r2","APY_2010_2015","APY_2010_2100","Ratio","Rate"
4,5,2,4.4,1.01,0.995,63.5819868191,75.887561812,1.19353869874987,735.165426033,11.5624796080162,1.63158684834529,1.02757061764109,1.00914376288672,0.0091437628867177
4,1,3,4.4,0.99,1,63.5819868191,73.8013844111,1.16072787440688,218.043494052,3.42932809999105,1.27950447050022,1.01378711488353,0.990823214451081,-0.00917678554891888
4,2,3,4.4,0.995,1,63.5819868191,74.7556691366,1.17573660208654,330.7971698838,5.20268689974986,1.39073869429485,1.01849308669447,0.995422588469919,-0.00457741153008084
4,3,3,4.4,1,1,63.5819868191,75.7278824324,1.1910273053885,499.9050617896,7.86236930928098,1.51046507481443,1.02317658700111,1,0
4,4,3,4.4,1.005,1,63.5819868191,76.7177171904,1.20659515420103,751.5315255026,11.8198811188587,1.63878742089752,1.02782203344128,1.00454021964457,0.0045402196445723
4,5,3,4.4,1.01,1,63.5819868191,77.7260206704,1.22245347399322,1128.1709814184,17.7435628840635,1.7774940924001,1.03247187816847,1.00908473794792,0.00908473794792042
4,1,4,4.4,0.99,1.005,63.5819868191,75.5230767405,1.1878061777996,336.4861865538,5.29216218912995,1.39548967997951,1.01868607195928,0.990907767807693,-0.00909223219230737
4,2,4,4.4,0.995,1.005,63.5819868191,76.5031758352,1.20322090677762,508.8787793966,8.00350547151718,1.51584937576579,1.02337887342874,0.995472602408727,-0.00452739759127263
4,3,4,4.4,1,1.005,63.5819868191,77.5021040004,1.21893177419738,765.5547927412,12.0404352087851,1.64485809692224,1.0280331884097,1,0
4,4,4,4.4,1.005,1.005,63.5819868191,78.5217257616,1.23496810480311,1150.5176833418,18.0950256652909,1.78448064029222,1.03269691593565,1.00453655346786,0.00453655346786142
4,5,4,4.4,1.01,1.005,63.5819868191,79.560231124,1.25130143149443,1727.9199480374,27.1762496657046,1.93569935230004,1.03737419158004,1.00908628561379,0.00908628561378522
4,1,5,4.4,0.99,1.01,63.5819868191,77.1922726309,1.21405883163927,516.1858507588,8.11842908003841,1.52017784983149,1.02354100134055,0.99095580360442,-0.00904419639558041
4,2,5,4.4,0.995,1.01,63.5819868191,78.2029386048,1.2299543080857,777.1202882231,12.2223341405502,1.64979821925499,1.02820447711054,0.995470814115172,-0.00452918588482809
4,3,5,4.4,1,1.01,63.5819868191,79.2381282486,1.2462354860669,1169.2850638974,18.390193864564,1.79026475382719,1.03288259437768,1,0
4,4,5,4.4,1.005,1.01,63.5819868191,80.2942963759,1.2628466078663,1758.3225207782,27.6544129673218,1.94246359786128,1.03757525300955,1.00454326431427,0.00454326431427021
4,5,5,4.4,1.01,1.01,63.5819868191,81.3689925649,1.27974913392384,2651.3632378476,41.6999117280043,2.10875937871933,1.04232103305359,1.0091379588806,0.00913795888059754
5,1,1,5.9,0.99,0.99,63.5819868191,70.2496111148,1.10486656094391,89.4264093985,1.40647396963123,1.07059778315295,1.00379703321883,0.990794088597271,-0.00920591140272853
5,2,1,5.9,0.995,0.99,63.5819868191,71.1610392163,1.11920125142933,135.813407091,2.13603591025567,1.16391619183437,1.00846845322149,0.995404996152109,-0.00459500384789135
5,3,1,5.9,1,0.99,63.5819868191,72.0887782081,1.13379247511096,205.5697385401,3.23314430429763,1.26451800582533,1.01312376080076,1,0
5,4,1,5.9,1.005,0.99,63.5819868191,73.0322571347,1.14863125215774,309.6148465576,4.86953714482844,1.37245317616059,1.01774447175943,1.00456085538357,0.00456085538356965
5,5,1,5.9,1.01,0.99,63.5819868191,73.9907800336,1.1637066366629,462.6437755545,7.27633404836481,1.48724502817999,1.02229634244793,1.00905376223722,0.00905376223721888
5,1,2,5.9,0.99,0.995,63.5819868191,71.9446342857,1.1315254191473,138.8772979338,2.18422394268562,1.16912092247857,1.00871845952917,0.990872214122155,-0.00912778587784502
5,2,2,5.9,0.995,0.995,63.5819868191,72.8784603225,1.1462123781984,210.3474449009,3.30828675579719,1.27034191899548,1.01338242547214,0.995453665186964,-0.0045463348130359
5,3,2,5.9,1,0.995,63.5819868191,73.8285549548,1.16115520524473,316.9879425924,4.98549917123975,1.37892844251196,1.01801064269707,1,0
5,4,2,5.9,1.005,0.995,63.5819868191,74.7937528668,1.17633557251992,473.8024504716,7.45183461818576,1.49435107925186,1.02256709473637,1.00447583929695,0.00447583929694639
5,5,2,5.9,1.01,0.995,63.5819868191,75.7747930635,1.19176510289133,699.410600916,11.0001375532024,1.61539830623023,1.02700152900306,1.00883181955954,0.00883181955953538
5,1,3,5.9,0.99,1,63.5819868191,73.6129518078,1.15776425825194,214.4738730845,3.37318608326458,1.27528737402594,1.01360119628297,0.991008029425153,-0.00899197057484713
5,2,3,5.9,0.995,1,63.5819868191,74.5700246677,1.17281683694255,323.3911483027,5.08620702940276,1.3844548809238,1.01823687928544,0.995540383070905,-0.00445961692909513
5,3,3,5.9,1,1,63.5819868191,75.5417381073,1.18809967864369,483.5359847326,7.60492096776293,1.50044106272518,1.02279816730741,1,0
5,4,3,5.9,1.005,1,63.5819868191,76.5298931464,1.20364110929938,713.8465995408,11.2271829688462,1.62201236296159,1.02723468607929,1.00433762878512,0.00433762878512023
5,5,3,5.9,1.01,1,63.5819868191,77.5413308332,1.21954872303403,1050.8660596117,16.5277323371723,1.7524379689437,1.03165788774314,1.0086622373005,0.00866223730050031
5,1,4,5.9,0.99,1.005,63.5819868191,75.2111180491,1.18289977730779,328.7669855552,5.1707567190467,1.38902742642833,1.01842342235629,0.991234697732977,-0.00876530226702288
5,2,4,5.9,0.995,1.005,63.5819868191,76.1896795699,1.19829032374642,491.7636379036,7.7343232337602,1.50551283940425,1.02298993098932,0.99567929484769,-0.00432070515230987
5,3,4,5.9,1,1.005,63.5819868191,77.1853135187,1.21394938063674,726.1119208451,11.4200885686538,1.62754833234713,1.0274291494088,1,0
5,4,4,5.9,1.005,1.005,63.5819868191,78.2111210497,1.23008299932844,1070.1843268268,16.8315647303006,1.75883418610819,1.03186671939989,1.0043191007318,0.00431910073179975
5,5,4,5.9,1.01,1.005,63.5819868191,79.2605445111,1.24658804287774,1577.2248901511,24.8061592450474,1.90069269452814,1.03632292586099,1.00865634039807,0.00865634039807484
5,1,5,5.9,0.99,1.01,63.5819868191,76.6560265497,1.20562490077257,498.4224283267,7.83905085798568,1.50956805347031,1.02314282003821,0.991379346587589,-0.00862065341241125
5,2,5,5.9,0.995,1.01,63.5819868191,77.6607610966,1.22142708936662,736.1623346724,11.5781587128897,1.63202910567301,1.02758608971139,0.995684674933778,-0.00431532506622245
5,3,5,5.9,1,1.01,63.5819868191,78.7091582341,1.23791599117591,1086.4495050947,17.0873789802418,1.76414829927339,1.03203967639628,1,0
5,4,5,5.9,1.005,1.01,63.5819868191,79.7874263261,1.25487469514136,1603.737710835,25.2231455962184,1.90704020605777,1.03651489448054,1.0043362849187,0.00433628491870186
5,5,5,5.9,1.01,1.01,63.5819868191,80.888637069,1.27219423480962,2390.1798488574,37.592091226369,2.06547192974571,1.04112067765064,1.00879908152956,0.00879908152956466
